Property.URL,Building.Class,Building.Size,Corridor,Lot.Size,No of Rooms,No..Stories,Parking.Ratio,Price,Price.Per.Room,Property.Subtype,Property Type,Property URL ,Sale.Type,Year.Built,Year.Built.Renovated,Building.Size.SF,Price.Numeric,Price.per.SF,Latitude,Longitude
25-Bay-Breeze-Ln-Lampe-MO31030158,C,"4,755 SF",Exterior,1.60 AC,6,2,,"$750,000 ","$125,000 ",Serviced Apartment,Hospitality,https://www.loopnet.com/Listing/25-Bay-Breeze-Ln-Lampe-MO/31030158/,Investment,1957,,4755,750000,157.73,-93.4947844,36.5671947
2316-Shepherd-of-the-Hills-Expy-Branson-MO25818020,C,"64,285 SF",Exterior,2.15 AC,90,3,"1.17/1,000 SF","$1,625,000 ","$18,056 ",Hotel,Hospitality,https://www.loopnet.com/Listing/2316-Shepherd-of-the-Hills-Expy-Branson-MO/25818020/,Investment,1994,,64285,1625000,25.28,-93.2679125,36.6520145
1200-E-Randolph-St-Glasgow-MO29919925,C,"4,939 SF",Exterior,1.15 AC,14,1,"2.2/1,000 SF","$245,000 ","$17,500 ",Hotel,Hospitality,https://www.loopnet.com/Listing/1200-E-Randolph-St-Glasgow-MO/29919925/,Investment,1962,,4939,245000,49.61,-92.8465757,39.2272513
245-N-Wildwood-Dr-Branson-MO30842704,B,"211,500 SF",Interior,3.80 AC,200,9,"0.67/1,000 SF","$9,500,000 ","$47,500 ",Hotel,Hospitality,https://www.loopnet.com/Listing/245-N-Wildwood-Dr-Branson-MO/30842704/,Investment,1995,,211500,9500000,44.92,-93.269286,36.6418369
3400-NW-Jefferson-St-Blue-Springs-MO24091302,C,"26,303 SF",Exterior,1.53 AC,50,3,"3.57/1,000 SF","$1,775,000 ","$35,500 ",Hotel,Hospitality,https://www.loopnet.com/Listing/3400-NW-Jefferson-St-Blue-Springs-MO/24091302/,Investment,NA,1970/2016,26303,1775000,67.48,-94.3029886,39.034813
8230-NW-Prairie-View-Rd-Kansas-City-MO23281224,C,"41,252 SF",Exterior,2.30 AC,83,2,"2.5/1,000 SF","$3,150,000 ","$37,952 ",Hotel,Hospitality,https://www.loopnet.com/Listing/8230-NW-Prairie-View-Rd-Kansas-City-MO/23281224/,Investment,NA,1984/2016,41252,3150000,76.36,-94.6594351,39.2437632
215-South-Byp-Kennett-MO13544471,C,"5,658 SF",Exterior,2.00 AC,18,1,"3.53/1,000 SF","$375,000 ","$20,833 ",Hotel,Hospitality,https://www.loopnet.com/Listing/215-South-Byp-Kennett-MO/13544471/,Investment,1950,,5658,375000,66.28,-90.0390881,36.2355369
3601-Shepherd-of-the-Hills-Expy-Branson-MO30133329,B,"70,159 SF",Exterior,2.55 AC,87,3,"1.3/1,000 SF","$3,350,000 ","$38,506 ",Hotel,Hospitality,https://www.loopnet.com/Listing/3601-Shepherd-of-the-Hills-Expy-Branson-MO/30133329/,Investment,NA,1991/2006,70159,3350000,47.75,-93.289607,36.6515965
1215-Wyandotte-St-Kansas-City-MO30350495,A,"101,824 SF",Interior,0.16 AC,193,16,,,,Hotel,Hospitality,https://www.loopnet.com/Listing/1215-Wyandotte-St-Kansas-City-MO/30350495/,Investment,1925,,101824,NA,NA,-94.5851349,39.0994334
1062-Susan-Rd-Lake-Ozark-MO29958313,B,"13,269 SF",Exterior,6.20 AC,20,2,"4.9/1,000 SF","$5,350,000 ","$267,500 ",Hotel,Hospitality,https://www.loopnet.com/Listing/1062-Susan-Rd-Lake-Ozark-MO/29958313/,Investment,NA,1963/2023,13269,5350000,403.2,-92.6694884,38.2024755
151-N-Dam-Access-Rd-Warsaw-MO30878545,C,"17,877 SF",Interior,2.51 AC,57,2,"2.9/1,000 SF","$3,300,000 ","$57,895 ",Hotel,Hospitality,https://www.loopnet.com/Listing/151-N-Dam-Access-Rd-Warsaw-MO/30878545/,Investment,2006,,17877,3300000,184.59,-93.3724713,38.264774
123-Bear-Bottom-Dr-Sunrise-Beach-MO28853296,C,"9,636 SF",Exterior,58.00 AC,11,2,,"$6,000,000 ","$545,455 ",Hotel,Hospitality,https://www.loopnet.com/Listing/123-Bear-Bottom-Dr-Sunrise-Beach-MO/28853296/,Investment,1959,,9636,6.00E+06,622.67,-92.7908689,38.1720994
3500-Green-Mountain-Branson-MO21742370,C,"38,000 SF",Exterior,1.62 AC,60,2,"1.66/1,000 SF","$639,000 ","$10,650 ",Hotel,Hospitality,https://www.loopnet.com/Listing/3500-Green-Mountain-Branson-MO/21742370/,Investment,1997,,38000,639000,16.82,-93.287279,36.6342032
506-Kansas-Ave-Clinton-MO30878486,B,"31,550 SF",Interior,4.08 AC,60,2,"2.16/1,000 SF","$3,900,000 ","$65,000 ",Hotel,Hospitality,https://www.loopnet.com/Listing/506-Kansas-Ave-Clinton-MO/30878486/,Investment,2001,,31550,3900000,123.61,-93.7529123,38.3641104
Gelbach-Manor-3-Rental-Properties30387722,,,,,NA,NA,,,,,,https://www.loopnet.com/Listing/Gelbach-Manor-3-Rental-Properties/30387722/,,NA,,NA,NA,NA,-93.7407353,38.7612273
2831-N-Westwood-Blvd-Poplar-Bluff-MO29689817,C,"23,438 SF",Interior,1.53 AC,61,2,"2.42/1,000 SF","$2,350,000 ","$38,525 ",Hotel,Hospitality,https://www.loopnet.com/Listing/2831-N-Westwood-Blvd-Poplar-Bluff-MO/29689817/,Investment,NA,1985/2006,23438,2350000,100.26,-90.4321465,36.7880275
4545-Woodson-Rd-Saint-Louis-MO30978414,C,"28,686 SF",Exterior,1.40 AC,86,3,"2.65/1,000 SF","$3,000,000 ","$34,884 ",Hotel,Hospitality,https://www.loopnet.com/Listing/4545-Woodson-Rd-Saint-Louis-MO/30978414/,Investment,NA,1965/2024,28686,3.00E+06,104.58,-90.3574415,38.7338609
103-Bigelow-Ln-Gardiner-MT29298830,B,"10,580 SF",Exterior,1.22 AC,16,1,"1.89/1,000 SF","$4,500,000 ","$281,250 ",Hotel,Hospitality,https://www.loopnet.com/Listing/103-Bigelow-Ln-Gardiner-MT/29298830/,Investment,NA,1978/2020,10580,4500000,425.33,-110.7114893,45.0357845
10630-Hwy-2-E-Coram-MT29990105,C,"3,648 SF",Exterior,1.00 AC,7,1,"8.77/1,000 SF","$1,800,000 ","$257,143 ",HotelGeneral Retail Convenience Store,Hospitality,https://www.loopnet.com/Listing/10630-Hwy-2-E-Coram-MT/29990105/,Investment or Owner User,NA,1994/2011,3648,1800000,493.42,-114.0407913,48.4374174
4-Maiden-Basin-Dr-Gardiner-MT31114343,B,"12,630 SF",Interior,3.00 AC,17,1,"1.9/1,000 SF","$4,500,000 ","$264,706 ",Bed and Breakfast,Hospitality,https://www.loopnet.com/Listing/4-Maiden-Basin-Dr-Gardiner-MT/31114343/,Investment,NA,1994/2022,12630,4500000,356.29,-110.7747667,45.0825983
1214-13th-St-S-Great-Falls-MT31030129,B,"55,000 SF",Interior,1.33 AC,110,3,"3.6/1,000 SF","$7,950,000 ","$72,273 ",Hotel,Hospitality,https://www.loopnet.com/Listing/1214-13th-St-S-Great-Falls-MT/31030129/,Investment,NA,1978/2023,55000,7950000,144.55,-111.2860042,47.49114
20-Maiden-Basin-Dr-Gardiner-MT31061661,C,"7,383 SF",Exterior,4.01 AC,17,1,,"$4,750,000 ","$279,412 ",Hotel,Hospitality,https://www.loopnet.com/Listing/20-Maiden-Basin-Dr-Gardiner-MT/31061661/,Investment,NA,2016/2022,7383,4750000,643.37,-110.774596,45.084983
Kalispell-Center-Mall-Value-Add27841642,,,,,NA,NA,,"$17,750,000 ",,,,https://www.loopnet.com/Listing/Kalispell-Center-Mall-Value-Add/27841642/,Investment,NA,,NA,17750000,NA,-114.3176443,48.198893
1015-S-Haynes-Ave-Miles-City-MT28429310,C,"26,272 SF",Exterior,0.70 AC,53,2,"1.67/1,000 SF","$3,700,000 ","$69,811 ",Hotel,Hospitality,https://www.loopnet.com/Listing/1015-S-Haynes-Ave-Miles-City-MT/28429310/,Investment,1970,,26272,3700000,140.83,-105.823153,46.398886
